epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.65542,1.15546,3.89171,1.28853,0.0027,0.56667,0.1532,0.06093,1.85075,4.31524,1.2159,0.000571429,0.000571429,0.000571429
2,16.6885,1.20143,3.33387,1.11603,0.00317,0.66667,0.18585,0.06879,1.64263,4.39888,1.15833,0.00122584,0.00122584,0.00122584
3,24.739,1.23687,2.96166,1.11584,0.00317,0.66667,0.13194,0.04517,1.78245,4.68246,1.42249,0.00186705,0.00186705,0.00186705
4,32.8181,1.47824,2.7658,1.27573,0.49509,0.1,0.11984,0.04801,1.68005,5.013,1.9337,0.0019406,0.0019406,0.0019406
5,42.1749,1.58852,2.74568,1.35106,0.17501,0.13333,0.10752,0.03257,1.66723,4.81477,1.8707,0.0019208,0.0019208,0.0019208
6,51.0879,1.4461,2.49325,1.25118,0.00269,0.3,0.00449,0.00136,1.81002,5.01153,2.11004,0.001901,0.001901,0.001901
7,60.1804,1.39993,2.52951,1.3127,0.00222,0.46667,0.0052,0.00209,1.87776,4.87973,1.95305,0.0018812,0.0018812,0.0018812
8,68.8675,1.42586,2.76734,1.36893,0.00222,0.46667,0.0052,0.00209,1.87776,4.87973,1.95305,0.0018614,0.0018614,0.0018614
9,77.6883,1.34914,2.44354,1.33264,0.37434,0.03333,0.0196,0.00637,1.56648,4.78332,1.82849,0.0018416,0.0018416,0.0018416
10,86.489,1.31552,2.50175,1.22998,0.00495,0.06667,0.0048,0.00206,1.53417,4.57354,1.77824,0.0018218,0.0018218,0.0018218
11,95.1522,1.27607,2.39332,1.22359,0.93507,0.23333,0.29727,0.16487,1.6019,4.16573,1.62075,0.001802,0.001802,0.001802
12,103.727,1.32443,2.21567,1.25175,0.73814,0.3,0.36841,0.20628,1.49836,3.79909,1.48436,0.0017822,0.0017822,0.0017822
13,112.234,1.32478,2.0787,1.29173,0.42349,0.22088,0.20099,0.13397,1.49444,3.74043,1.40079,0.0017624,0.0017624,0.0017624
14,120.753,1.2079,2.26982,1.21174,0.43668,0.33333,0.25343,0.14158,1.47947,3.38523,1.32474,0.0017426,0.0017426,0.0017426
15,130.121,1.2206,1.98712,1.19246,0.46596,0.43333,0.30881,0.19244,1.56326,3.03598,1.323,0.0017228,0.0017228,0.0017228
16,138.709,1.14946,2.3168,1.27726,0.46596,0.43333,0.30881,0.19244,1.56326,3.03598,1.323,0.001703,0.001703,0.001703
17,147.49,1.21119,1.95361,1.23887,0.45473,0.5,0.3527,0.20605,1.47276,3.10891,1.35602,0.0016832,0.0016832,0.0016832
18,157.051,1.16045,1.98814,1.17742,0.55558,0.36667,0.33965,0.21602,1.30686,2.99778,1.2953,0.0016634,0.0016634,0.0016634
19,165.911,1.17299,1.85559,1.20384,0.382,0.47404,0.29016,0.19073,1.33794,3.11323,1.34748,0.0016436,0.0016436,0.0016436
20,174.343,1.12654,1.82111,1.19881,0.51393,0.53333,0.45694,0.29084,1.40372,2.74685,1.33949,0.0016238,0.0016238,0.0016238
21,182.767,1.17666,1.84336,1.14351,0.64666,0.53333,0.55909,0.34731,1.33077,2.61613,1.24986,0.001604,0.001604,0.001604
22,191.554,1.16492,1.77833,1.1651,0.65732,0.66667,0.60898,0.41129,1.13362,2.52709,1.19402,0.0015842,0.0015842,0.0015842
23,200.241,1.05688,1.76637,1.09802,0.70117,0.66667,0.63255,0.42955,1.11269,2.38785,1.16744,0.0015644,0.0015644,0.0015644
24,208.781,1.06443,1.84154,1.1156,0.70117,0.66667,0.63255,0.42955,1.11269,2.38785,1.16744,0.0015446,0.0015446,0.0015446
25,217.501,1.03368,1.57735,1.0674,0.88229,0.56667,0.65615,0.47366,1.08709,2.24635,1.1403,0.0015248,0.0015248,0.0015248
26,226.04,1.04572,1.70811,1.06163,0.7736,0.6,0.65942,0.45907,1.07312,2.32313,1.12165,0.001505,0.001505,0.001505
27,234.751,0.89948,1.68508,1.06362,0.7717,0.56351,0.60483,0.40644,1.07367,2.52956,1.11987,0.0014852,0.0014852,0.0014852
28,243.469,1.00306,1.65529,1.15363,0.86747,0.56667,0.60934,0.41325,1.09533,2.35823,1.09688,0.0014654,0.0014654,0.0014654
29,252.093,1.1472,1.76268,1.15109,0.88062,0.53333,0.57965,0.38981,1.08818,2.25876,1.08997,0.0014456,0.0014456,0.0014456
30,260.841,0.99362,1.43778,1.04637,0.84736,0.55553,0.5916,0.4176,1.12912,2.24509,1.10139,0.0014258,0.0014258,0.0014258
31,269.441,1.0921,1.76409,1.12596,0.87876,0.53333,0.63366,0.43843,1.03541,2.08576,1.07847,0.001406,0.001406,0.001406
32,278.053,1.02209,1.48206,1.12173,0.87876,0.53333,0.63366,0.43843,1.03541,2.08576,1.07847,0.0013862,0.0013862,0.0013862
33,286.998,0.88276,1.45981,0.99909,0.71409,0.63333,0.62065,0.43695,1.03722,2.01986,1.08277,0.0013664,0.0013664,0.0013664
34,295.906,0.93785,1.35352,1.0382,0.69303,0.66667,0.61385,0.42709,1.04468,2.13353,1.09455,0.0013466,0.0013466,0.0013466
35,304.824,0.9859,1.33691,1.03064,0.7171,0.59173,0.59584,0.39391,1.0316,2.33999,1.06916,0.0013268,0.0013268,0.0013268
36,313.691,0.94113,1.37475,1.08753,0.68765,0.66667,0.60427,0.39607,0.99894,2.24617,1.02881,0.001307,0.001307,0.001307
37,322.747,0.92886,1.41596,1.05659,0.79105,0.63108,0.64191,0.45183,0.97598,2.20383,0.99628,0.0012872,0.0012872,0.0012872
38,331.574,0.94721,1.20343,1.03817,0.78595,0.63333,0.66742,0.47953,0.92551,2.05521,0.98655,0.0012674,0.0012674,0.0012674
39,340.578,0.84108,1.2648,0.99525,0.76543,0.66667,0.69111,0.48659,0.90547,1.95402,0.99282,0.0012476,0.0012476,0.0012476
40,349.045,0.94942,1.26948,1.07848,0.76543,0.66667,0.69111,0.48659,0.90547,1.95402,0.99282,0.0012278,0.0012278,0.0012278
41,357.51,0.88561,1.26956,0.97014,0.82255,0.63333,0.69334,0.48035,1.00783,1.85017,1.04586,0.001208,0.001208,0.001208
42,365.953,0.85243,1.23162,1.01865,0.80736,0.63333,0.69812,0.49411,0.98686,1.71907,1.04266,0.0011882,0.0011882,0.0011882
43,374.212,0.82169,1.19602,0.99868,0.88447,0.63333,0.70495,0.51171,0.99685,1.70156,1.04499,0.0011684,0.0011684,0.0011684
44,382.65,0.92687,1.22271,1.05331,0.93277,0.6,0.7036,0.52548,1.00089,1.66372,1.02896,0.0011486,0.0011486,0.0011486
45,390.948,0.85736,1.1812,1.01874,0.77509,0.6,0.68624,0.50534,0.96068,1.67999,1.01123,0.0011288,0.0011288,0.0011288
46,399.328,0.86112,1.19071,0.95479,0.70236,0.62939,0.6774,0.46122,0.95039,1.74183,1.00963,0.001109,0.001109,0.001109
47,407.413,0.87199,1.25376,1.0152,0.69827,0.63333,0.6634,0.4739,0.93643,1.7147,1.00849,0.0010892,0.0010892,0.0010892
48,415.626,0.91659,1.27036,1.06071,0.69827,0.63333,0.6634,0.4739,0.93643,1.7147,1.00849,0.0010694,0.0010694,0.0010694
49,423.904,0.82716,1.19481,1.03185,0.81387,0.6,0.66638,0.48864,0.97214,1.6391,0.98706,0.0010496,0.0010496,0.0010496
50,432.132,0.76638,1.04709,0.95206,0.74712,0.68963,0.64297,0.47077,0.91211,1.53102,0.96726,0.0010298,0.0010298,0.0010298
51,440.32,0.75205,1.04066,0.95421,0.79751,0.7,0.65737,0.50024,0.85744,1.44257,0.95457,0.00101,0.00101,0.00101
52,448.479,0.78277,1.04012,0.95305,0.80738,0.69863,0.64971,0.51296,0.84642,1.38333,0.95226,0.0009902,0.0009902,0.0009902
53,456.885,0.76807,1.08888,0.97182,0.77643,0.7,0.6479,0.49435,0.89597,1.40494,0.96529,0.0009704,0.0009704,0.0009704
54,465.107,0.79672,1.12349,0.971,0.78695,0.63333,0.65049,0.45213,0.9628,1.5759,0.99044,0.0009506,0.0009506,0.0009506
55,473.312,0.72201,1.01789,0.92532,0.75603,0.62011,0.61842,0.43774,0.89663,1.7105,0.99895,0.0009308,0.0009308,0.0009308
56,481.534,0.85162,1.08638,1.10782,0.75603,0.62011,0.61842,0.43774,0.89663,1.7105,0.99895,0.000911,0.000911,0.000911
57,489.754,0.72758,1.02696,0.9395,0.75,0.59998,0.64739,0.46849,0.87936,1.59776,0.99692,0.0008912,0.0008912,0.0008912
58,497.958,0.73542,1.15976,0.97304,0.78085,0.63333,0.67122,0.47263,0.88253,1.48687,0.99397,0.0008714,0.0008714,0.0008714
59,506.256,0.68904,0.95702,0.95507,0.81673,0.63333,0.70558,0.51051,0.85485,1.40837,0.98738,0.0008516,0.0008516,0.0008516
60,514.574,0.71229,1.0161,0.9462,0.83233,0.66203,0.73695,0.54192,0.8401,1.3971,0.98,0.0008318,0.0008318,0.0008318
61,522.904,0.72051,1.01194,0.99298,0.84563,0.73049,0.74714,0.56349,0.80659,1.42517,0.96791,0.000812,0.000812,0.000812
62,531.17,0.70027,0.93765,0.92973,0.79452,0.73333,0.75345,0.57024,0.76447,1.41457,0.94976,0.0007922,0.0007922,0.0007922
63,539.421,0.6547,0.90022,0.90484,0.74504,0.77949,0.75734,0.58662,0.72681,1.38909,0.94405,0.0007724,0.0007724,0.0007724
